lgd_state_code,State,lgd_district_code,District,pc11_district_id
35,Andaman And Nicobar Islands,603,Nicobars,638
35,Andaman And Nicobar Islands,632,North And Middle Andaman,639
35,Andaman And Nicobar Islands,602,South Andamans,640
28,Andhra Pradesh,502,Ananthapuramu,553
28,Andhra Pradesh,503,Chittoor,554
28,Andhra Pradesh,505,East Godavari,545
28,Andhra Pradesh,506,Guntur,548
28,Andhra Pradesh,510,Krishna,547
28,Andhra Pradesh,511,Kurnool,552
28,Andhra Pradesh,517,Prakasam,549
28,Andhra Pradesh,519,Srikakulam,542
28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,550
28,Andhra Pradesh,520,Visakhapatnam,544
28,Andhra Pradesh,521,Vizianagaram,543
28,Andhra Pradesh,523,West Godavari,546
28,Andhra Pradesh,504,Y.S.R. Kadapa,551
12,Arunachal Pradesh,628,Anjaw,260
12,Arunachal Pradesh,229,Changlang,253
12,Arunachal Pradesh,230,Dibang Valley,257
12,Arunachal Pradesh,231,East Kameng,247
12,Arunachal Pradesh,232,East Siang,251
12,Arunachal Pradesh,233,Kurung Kumey,256
12,Arunachal Pradesh,234,Lohit,259
12,Arunachal Pradesh,235,Lower Dibang Valley,258
12,Arunachal Pradesh,236,Lower Subansiri,255
12,Arunachal Pradesh,237,Papum Pare,248
12,Arunachal Pradesh,238,Tawang,245
12,Arunachal Pradesh,239,Tirap,254
12,Arunachal Pradesh,240,Upper Siang,252
12,Arunachal Pradesh,241,Upper Subansiri,249
12,Arunachal Pradesh,242,West Kameng,246
12,Arunachal Pradesh,243,West Siang,250
18,Assam,616,Baksa,324
18,Assam,280,Barpeta,303
18,Assam,281,Bongaigaon,319
18,Assam,282,Cachar,316
18,Assam,612,Chirang,320
18,Assam,283,Darrang,325
18,Assam,284,Dhemaji,308
18,Assam,285,Dhubri,301
18,Assam,286,Dibrugarh,310
18,Assam,299,Dima Hasao,315
18,Assam,287,Goalpara,302
18,Assam,288,Golaghat,313
18,Assam,289,Hailakandi,318
18,Assam,290,Jorhat,312
18,Assam,291,Kamrup,321
18,Assam,618,Kamrup Metro,322
18,Assam,292,Karbi Anglong,314
18,Assam,294,Kokrajhar,300
18,Assam,295,Lakhimpur,307
18,Assam,296,Marigaon,304
18,Assam,297,Nagaon,305
18,Assam,298,Nalbari,323
18,Assam,300,Sivasagar,311
18,Assam,301,Sonitpur,306
18,Assam,293,Sribhumi,317
18,Assam,302,Tinsukia,309
18,Assam,617,Udalguri,326
10,Bihar,188,Araria,209
10,Bihar,611,Arwal,240
10,Bihar,189,Aurangabad,235
10,Bihar,190,Banka,225
